titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
MuddyWater,Espionage,Iran (Islamic Republic of),"Georgia, India, Iraq, Israel, Pakistan, Saudi Arabia, Turkey, United Arab Emirates, United States",vittima,2017-11-14,archivio_cfr_2019,"This threat actor targets governments, primarily in the Middle East and South Asia, for espionage purposes.",https://www.cfr.org/cyber-operations/muddywater
APT 33,Espionage,Iran (Islamic Republic of),"Korea (Republic of), Saudi Arabia, United States",vittima,2017-09-20,archivio_cfr_2019,"This threat actor is an Iranian state-sponsored APT that targets private-sector entities in the aviation, energy, and petrochemical sectors for the purpose of espionage. It first became active in late 2015 or early 2016, and has been involved in a three-year campaign against multiple firms in the United States and Saudi Arabia. On December 19, […]",https://www.cfr.org/cyber-operations/apt-33
CopyKittens,Espionage,Iran (Islamic Republic of),"Germany, Israel, Jordan, Saudi Arabia, United States",vittima,2017-07-25,archivio_cfr_2019,"This threat actor targets government institutions, universities, defense contractors, and large IT companies for the purpose of espionage.",https://www.cfr.org/cyber-operations/copykittens
Operation BugDrop,Espionage,Russian Federation,"Austria, Russian Federation, Saudi Arabia, Ukraine",vittima,2017-02-17,archivio_cfr_2019,"This threat actor targets critical infrastructure entities in the oil and gas sector, primarily in Ukraine. The threat actors deploy the BugDrop malware to remotely access the microphones in their targets’ computers to eavesdrop on conversations.",https://www.cfr.org/cyber-operations/operation-bugdrop
Magic Hound,Espionage,Iran (Islamic Republic of),Saudi Arabia,vittima,2017-02-15,archivio_cfr_2019,"This threat actor targets entities in the government, energy, and technology sectors that are located in or do business with Saudi Arabia.",https://www.cfr.org/cyber-operations/magic-hound
Shamoon 2.0,Data destruction,,Saudi Arabia,vittima,2016-12-01,archivio_cfr_2019,A threat actor used malware known as Shamoon 2.0 to exfiltrate and delete data from computers in the Saudi transportation sector.,https://www.cfr.org/cyber-operations/shamoon-2-0
OilRig,Espionage,Iran (Islamic Republic of),"Israel, Kuwait, Lebanon, Qatar, Saudi Arabia, Turkey, United Arab Emirates, United States",vittima,2016-01-05,archivio_cfr_2019,"A threat actor believed to be Iran that targets private-sector and government entities for the purpose of espionage. In October 2019, revealed to have been compromised by Turla. Some operations previously attributed to the group may be Turla false flags.",https://www.cfr.org/cyber-operations/oilrig
Chafer,Espionage,Iran (Islamic Republic of),"Israel, Jordan, Saudi Arabia, Turkey, United Arab Emirates",vittima,2015-12-07,archivio_cfr_2019,"This threat actor targets organizations in the aerospace, technology, telecommunications, and engineering sectors for the purpose of espionage.",https://www.cfr.org/cyber-operations/chafer
Rocket Kitten,Espionage,Iran (Islamic Republic of),"Afghanistan, Canada, Egypt, Iran (Islamic Republic of), Iraq, Israel, Jordan, Kuwait, Saudi Arabia, Syrian Arab Republic, Turkey, United Arab Emirates, United Kingdom, Yemen",vittima,2015-11-09,archivio_cfr_2019,"This threat actor targets defense contractors and academic institutions in Israel, European government agencies, and civil society actors. It seeks out material related to diplomacy, defense, security, journalism, and human rights for espionage purposes.",https://www.cfr.org/cyber-operations/rocket-kitten
Compromise of networks in the Saudi government ministries,Espionage,Iran (Islamic Republic of),Saudi Arabia,vittima,2015-05-21,archivio_cfr_2019,A threat actor compromised the networks of several Saudi government ministries for the purposes of espionage and doxing.,https://www.cfr.org/cyber-operations/compromise-of-networks-in-the-saudi-government-ministries
APT 30,Espionage,China,"Cambodia, China, India, Indonesia, Korea (Republic of), Malaysia, Myanmar, Saudi Arabia, Singapore, Thailand, United States, Vietnam",vittima,2015-04-12,archivio_cfr_2019,This threat actor uses spear-phishing techniques to target government and private sector agencies in the South China Sea region.,https://www.cfr.org/cyber-operations/apt-30
Operation Cleaver,Espionage,Iran (Islamic Republic of),"Canada, China, France, Germany, India, Israel, Korea (Republic of), Kuwait, Mexico, Pakistan, Qatar, Saudi Arabia, Turkey, United Kingdom, United States",vittima,2014-12-02,archivio_cfr_2019,"This threat actor targets governments and private sector entities for espionage and sabotage purposes. It is believed to be responsible for compromising U.S. Navy computers at the Navy Marine Corps Intranet in San Diego, the U.S. energy company Calpine Corporation, Saudi Aramco, Pemex, Qatar Airways, and Korean Air (http://www.reuters.com/article/2014/12/02/us-cybersecurity-iran-idUSKCN0JG18I20141202)",https://www.cfr.org/cyber-operations/operation-cleaver
Turla,Espionage,Russian Federation,"Armenia, Austria, Belarus, France, Germany, India, Iran (Islamic Republic of), Iraq, Kazakhstan, Netherlands, Poland, Romania, Russian Federation, Saudi Arabia, Tajikistan, United States, Uzbekistan",vittima,2014-08-07,archivio_cfr_2019,"This threat actor targets governments, militaries, and research organizations for espionage purposes.",https://www.cfr.org/cyber-operations/turla
Charming Kitten,Espionage,Iran (Islamic Republic of),"Iraq, Israel, Saudi Arabia, United Kingdom, United States",vittima,,da_estrarre_con_llm,"This threat actor uses watering hole attacks and fake profiles to lure targets from the U.S. government for espionage purposes. Also believed to target scholars who study Iran, human rights organizations, and the media. At least one cybersecurity company claims that Behzah Mesri, who was indicted by the U.S. Department of Justice for compromising the […]",https://www.cfr.org/cyber-operations/charming-kitten
Compromise of Saudi Aramco and RasGas,Data destruction,Iran (Islamic Republic of),Saudi Arabia,vittima,2012-08-16,archivio_cfr_2019,"In 2012, threat actors wiped data from approximately thirty-five thousand computers belonging to Saudi Aramco, one of the world’s largest oil companies. Malware called Shamoon stole passwords, wiped data, and prevented computers from rebooting. Hackers calling themselves the “Cutting Sword of Justice” claimed responsibility for the incident, asserting they were retaliating against the al-Saud regime […]",https://www.cfr.org/cyber-operations/compromise-of-saudi-aramco-and-rasgas
Flame,Data destruction,"Israel, United States","Austria, Egypt, France, Hungary, Iran (Islamic Republic of), Israel, Lebanon, Russian Federation, Saudi Arabia, Sudan, Syrian Arab Republic, United Arab Emirates",vittima,2012-05-28,archivio_cfr_2019,"A threat actor, using a tool called Flame, targeted computers in the Middle East region; the most compromises were in Iran. This compromise gained widespread coverage due to the modular nature of the malware the threat actors used.",https://www.cfr.org/cyber-operations/flame
