titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
Targeting of Ukrainian citizens who were concerned about facing loss of housing in Ukraine,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Cloudfare’s security team identified a phishing campaign using Cloudflare Workers (a Cloudfare product) and GitHub. FlyingYeti distributed files that ostensibly helped users adapt to the end of a Ukrainian moratorium on evictions and termination of utility services, but which really installed malware on the target system.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-citizens-who-were-concerned-about-facing-loss-of-housing-in-ukraine
Targeting of Polish government institutions,Espionage,Russian Federation,Poland,attore,,da_estrarre_con_llm,Poland’s computer emergency response team detected a phishing campaign targeting senior government officials. It was unclear whether the attacks had immediate aims beyond gaining and maintaining access to government networks.,https://www.cfr.org/cyber-operations/targeting-of-polish-government-institutions
"Targeting of Czech and German political entities, state institutions, critical infrastructure, and German companies in the logistics, armaments, aerospace, and IT sectors",Sabotage,Russian Federation,"Czech Republic, Germany",attore,,da_estrarre_con_llm,"APT 28 targeted unspecified Czech government institutions, the headquarters of the Social Democratic Party of Germany, and German companies in the aerospace, armaments, IT, and logistics sectors by exploiting a critical vulnerability in Microsoft Outlook.",https://www.cfr.org/cyber-operations/targeting-of-czech-and-german-political-entities-state-institutions-critical-infrastructure-and-german-companies-in-the-logistics-armaments-aerospace-and-it-sectors
Targeting of AlphV ransomware group,Data destruction,Russian Federation,Russian Federation,entrambi,,da_estrarre_con_llm,"The FBI broke into the networks of the AlphV ransomware group and some of its affiliates. It used that access to steal decryption keys from the group and distribute them to over five hundred affected organizations over eighteen months. In December 2023, the FBI seized the group’s leak site and severely curtailed its operations.",https://www.cfr.org/cyber-operations/targeting-of-alphv-ransomware-group
Targeting of organizations using JetBrains software,Espionage,Russian Federation,United States,attore,,da_estrarre_con_llm,"The Dukes, a threat actor associated with the Russian SVR intelligence agency, were detected using a previously undetected vulnerability in TeamCity, a product used to test and exchange software code before releasing it, to gain access to organizations’ networks. The attacks appear to have been opportunistic, as the Dukes targeted any vulnerable network, rather than […]",https://www.cfr.org/cyber-operations/targeting-of-organizations-using-jetbrains-software
Targeting of Ukrainian telecommunications operator Kyivstar,Data destruction,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Kyivstar, a mobile-phone network that serves over twenty-four million people in Ukraine, was hit by a cyberattack that knocked its entire network offline. Solntsepek, a hacktivist group associated with the Russian threat actor Sandworm, claimed responsibility for the attack.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-telecommunications-operator-kyivstar
"Targeting of academic institutions, think tanks, and other research groups",Espionage,Russian Federation,United States,attore,,da_estrarre_con_llm,"Calisto was observed targeting a variety of academic institutions, think tanks, and research organizations. The attacks were aimed at stealing credentials for a U.S.-based grants management portal. The report on Calisto’s targeting came the same day that three of its members were sanctioned by the UK government.",https://www.cfr.org/cyber-operations/targeting-of-academic-institutions-think-tanks-and-other-research-groups
Targeting of Polish government organizations with Follina vulnerability,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"In 2022, APT 28 distributed malicious files claiming to provide an update on potential nuclear terrorism, which utilized the Follina vulnerability in the Microsoft support tool to break into the victim’s system. Ukraine’s cybersecurity agency reported on a similar campaign in 2022.",https://www.cfr.org/cyber-operations/targeting-of-polish-government-organizations-with-follina-vulnerability
Targeting of Polish government organizations with PlugX malware,Espionage,Russian Federation,Poland,attore,,da_estrarre_con_llm,"In 2022, Mustang Panda impersonated officials from different EU countries to distribute PlugX malware on Polish government systems.",https://www.cfr.org/cyber-operations/targeting-of-polish-government-organizations-with-plugx-malware
Targeting of Polish government agencies using compromised Ukrainian email accounts,Espionage,Russian Federation,Poland,attore,,da_estrarre_con_llm,Nodaria distributed a compromised spreadsheet reporting on the humanitarian crisis in Ukraine to Polish government agencies in July 2022.,https://www.cfr.org/cyber-operations/targeting-of-polish-government-agencies-using-compromised-ukrainian-email-accounts
Targeting of Ukrainian power grid,Data destruction,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"In October 2022, Sandworm deployed a new variant of CaddyWiper on the industrial control systems of a Ukrainian power plant. The attack caused power outages across Ukraine and occurred on the same day as missile strikes on power infrastructure.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-power-grid
"Targeting of French think tanks, government agencies, universities, and businesses",Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,The National Cybersecurity Agency of France (ANSSI) said it had found APT 28 had established a presence on various networks in France since at least 2021 and was leveraging that access to steal emails and information about the compromised systems.,https://www.cfr.org/cyber-operations/targeting-of-french-think-tanks-government-agencies-universities-and-businesses
Targeting of Ukrainian telecommunications providers,Sabotage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Russian threat actor Sandworm attacked the networks of at least eleven telecommunications providers in Ukraine, which led to disruptions in service for some customers.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-telecommunications-providers
Targeting of foreign embassies in Kyiv,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"The Dukes were observed sending phishing emails to various foreign embassies in Kyiv, Ukraine, after the start of Ukraine’s counteroffensive in June 2023. The campaign appears aimed at gathering intelligence on foreign sentiment toward Ukraine.",https://www.cfr.org/cyber-operations/targeting-of-foreign-embassies-in-kyiv
Targeting of Ukrainian energy facility,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"APT 28, a Russian threat actor, broke into a Ukrainian energy facility’s networks of after sending spear-phishing emails to workers at the plant.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-energy-facility
Targeting of Ukrainian armed forces planning operations system with Infamous Chisel,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,Sandworm targeted Ukrainian military officials with a piece of Android malware dubbed Infamous Chisel. The campaign’s goal appeared to be to steal Ukrainian military plans.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-armed-forces-planning-operations-system-with-infamous-chisel
Targeting of Russian missile design firm,Espionage,Korea (Democratic People's Republic of),Russian Federation,vittima,,da_estrarre_con_llm,"APT 37, a North Korean threat actor, compromised sensitive networks, including an email server, at the Russian missile design firm NPO Mashinostroyeniya. The company has previously been involved in designing hypersonic missiles and newer generation ballistic missiles.",https://www.cfr.org/cyber-operations/targeting-of-russian-missile-design-firm
Targeting of diplomatic agencies in Eastern Europe,Espionage,Russian Federation,"Estonia, Latvia, Lithuania, Slovakia, Ukraine",attore,,da_estrarre_con_llm,Russian threat actor the Dukes targeted embassies and diplomatic agencies in Eastern Europe with a variety of spear-phishing lures. The attacks used a new variety of malware based on an older piece of malware the Dukes had used previously.,https://www.cfr.org/cyber-operations/targeting-of-diplomatic-agencies-in-eastern-europe
Targeting of Ukrainian defense forces with Capibar and Kazuar spyware,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Turla targeted elements of the Ukrainian military with Kazuar, a backdoor, and Capibar, a piece of malware used to compromise Microsoft Exchange servers.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-defense-forces-with-capibar-and-kazuar-spyware
Targeting of Ukrainian government agencies in phishing attack,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,GhostWriter launched phishing attacks against Ukrainian government agencies. The group used malicious documents purporting to be a report from an expert at the National Defense University of Ukraine.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-agencies-in-phishing-attack
Targeting of Ukrainian email servers,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"APT 28, a Russian threat actor, used spear-phishing lures to gain a hold on Ukrainian government and military email servers and then attempted to expand access to the broader email network. The campaign has been active since at least November 2021.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-email-servers
Targeting of Russian iPhone users,Espionage,United States,Russian Federation,vittima,,da_estrarre_con_llm,"In June, cybersecurity company Kaspersky announced that it was targeted by an advanced threat actor that compromised several Apple iOS devices in the company using zero-click exploits sent in text messages. Follow-up reporting indicates the threat actor used at least four zero-day exploits in the attack and exploited a previously unknown hardware flaw in Apple […]",https://www.cfr.org/cyber-operations/targeting-of-russian-iphone-users
Targeting of Ukrainian civil-society groups,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"APT 28 targeted Ukrainian civil-society groups using a combination of phishing techniques and compromised Ubiquiti Wi-Fi routers. The phishing emails impersonated documents from a Ukrainian defense think tank, the Center for Defense Strategies.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-civil-society-groups
Targeting of government networks with Snake malware,Espionage,Russian Federation,"Australia, Russian Federation, United States",entrambi,,da_estrarre_con_llm,"The FBI said it had disrupted a malware network, Snake, run by Turla, a unit within Russia’s Federal Security Service (FSB). Snake had been operational for almost twenty years and had been placed on computers in over fifty countries, including the United States and Russia. The U.S. operation disabled Turla’s Snake malware using a tool […]",https://www.cfr.org/cyber-operations/targeting-of-government-networks-with-snake-malware
Targeting of the Ukrainian public sector,Data destruction,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"The Russian threat group Sandworm was observed destroying data on Ukrainian state networks using a malicious script, RoarBat. Sandworm gained initial access to the networks by compromising VPN accounts that lacked two-factor authentication.",https://www.cfr.org/cyber-operations/targeting-of-the-ukrainian-public-sector
Targeting of Ukrainian government bodies,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Russian group APT 28 aimed a spear-phishing campaign at Ukrainian government organizations, advertising fake Windows Update guides in order to collect intelligence on government activities.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-bodies
Targeting of European government agencies and diplomats,Espionage,Russian Federation,Poland,attore,,da_estrarre_con_llm,Russian threat actor the Dukes ran a phishing campaign posing as various European embassies and sending fake Google Calendar invites that redirected those who clicked on the invite to malicious documents. The operation’s goal appears to be to steal documents related to the Ukraine war.,https://www.cfr.org/cyber-operations/targeting-of-european-government-agencies-and-diplomats
Targeting of European diplomatic entities,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Russian threat group the Dukes ran a spear-phishing campaign against diplomatic entities and systems that were transmitting sensitive information about regional politics, aiding Ukrainian citizens fleeing the country, and helping the government of Ukraine.",https://www.cfr.org/cyber-operations/targeting-of-european-diplomatic-entities
Targeting of Ukrainian government websites using two-year-old backdoors,Defacement,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Ukraine’s Computer Emergency Response Team said that Russian state hackers, Nodaria, breached multiple government websites using backdoors placed as far back as December 2021. The hackers used the backdoors to modify content on the affected websites, although what content was modified is unclear.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-websites-using-two-year-old-backdoors
Targeting of Scottish National Party member of Parliament (MP),Doxing,Russian Federation,United Kingdom,attore,,da_estrarre_con_llm,"Russia-backed threat actor Calisto is believed to be behind a spear-phishing attack on the email accounts of Stewart McDonald, a Scottish National Party MP, and a member of his staff. McDonald said he worried the Russian government planned to leak the emails it stole, although as of March 28, 2023, none have been made public.",https://www.cfr.org/cyber-operations/targeting-of-scottish-national-party-member-of-parliament-mp
Nodaria,Data destruction,Russian Federation,"Georgia, Kyrgyzstan, Ukraine",attore,,da_estrarre_con_llm,"Nodaria is a Russia-linked threat actor. It has been active since March 2021 and is primarily linked to attacks against Ukraine, including the January 2022 WhisperGate wiper attacks. The group likely also targeted organizations in Georgia and Kyrgyzstan.",https://www.cfr.org/cyber-operations/nodaria
Targeting of Ukrainian government authorities,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Gamaredon, a Russian threat actor group, targeted Ukrainian government authorities. The group used spear-phishing emails to gain initial access and deployed surveillance malware on affected systems.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-authorities
"Targeting of Ukrainian national news agency, Ukrinform",Data destruction,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"The Russian threat group Sandworm used a new Golang-based data wiper, SwiftSlicer, to violate the integrity and accessibility of information within the network of Ukrainian news agency Ukrinform.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-national-news-agency-ukrinform
Targeting of Hive ransomware group,Data destruction,United States,Russian Federation,vittima,,da_estrarre_con_llm,"The U.S. Department of Justice ran a months-long disruption campaign against the Hive ransomware group. During this time, the FBI infiltrated the group’s servers and stole decryption keys, which they distributed to victims, preventing $130 million in ransom payouts.",https://www.cfr.org/cyber-operations/targeting-of-hive-ransomware-group
Calisto,Espionage,Russian Federation,"Belgium, United Kingdom, United States",attore,,da_estrarre_con_llm,Calisto is a Russian government-affiliated threat actor. The group uses spear-phishing tactics to compromise individual email accounts for espionage purposes. The group has also been known to leak stolen emails as part of information-warfare efforts.,https://www.cfr.org/cyber-operations/calisto
Targeting of Ukrainian organizations with old cybercrime malware,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"A Russian threat actor, Turla, used defunct command and control website domains to reactivate dormant backdoors installed before 2013 by criminal hackers. Turla then downloaded new information-stealing malware on the infected networks to identify whether they would be valuable for espionage.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-organizations-with-old-cybercrime-malware
Targeting of U.S. satellite network,Espionage,Russian Federation,United States,attore,,da_estrarre_con_llm,The U.S. Cybersecurity and Infrastructure Security Agency said Russian cyber operatives had infiltrated the network of a U.S. satellite communications provider. How far the intrusion extended or what kind of information the Russians could have stolen remains unclear.,https://www.cfr.org/cyber-operations/targeting-of-u-s-satellite-network
Targeting of U.S. National Laboratories,Espionage,Russian Federation,United States,attore,2007-12-07,archivio_cfr_2019,"In July 2022, Calisto targeted scientists at the Brookhaven National Laboratory with a fake login page to steal credentials. The hackers appear to have used the harvested credentials to access documents related to counter-proliferation and nuclear accountability in Russia and other states.",https://www.cfr.org/cyber-operations/targeting-of-u-s-national-laboratories
Targeting of organizations supporting Ukraine,Espionage,Russian Federation,United States,attore,,da_estrarre_con_llm,"As part of a phishing campaign, Calisto targeted NATO-affiliated military and strategic research institutes, a Ukraine-based defense contractor, and former intelligence officials and Russia experts who were working at nongovernmental organizations.",https://www.cfr.org/cyber-operations/targeting-of-organizations-supporting-ukraine
Targeting of Ukrainian local government organization,Data destruction,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Sandworm targeted Ukrainian local government networks in November 2022 with Caddywiper malware, which wipes most data on a system while preserving domain controllers. Researchers speculate this function allows Sandworm to maintain access inside networks after deploying Caddywiper.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-local-government-organization
Targeting of Polish and Ukrainian transportation companies,Espionage,Russian Federation,"Poland, Ukraine",attore,,da_estrarre_con_llm,Russian threat actor Sandworm targeted transportation and logistics organizations in Ukraine and Poland with Prestige ransomware starting in October 2022.,https://www.cfr.org/cyber-operations/targeting-of-polish-and-ukrainian-transportation-companies
Targeting of Ukrainian networks via fake telecommunications firms,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"A Russian threat actor masqueraded as a Ukrainian telecommunications firm in order to gain access to other networks in Ukraine, both through spear-phishing and malicious public domains.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-networks-via-fake-telecommunications-firms
Space Pirates,Espionage,China,"China, Georgia, Mongolia, Russian Federation",vittima,,da_estrarre_con_llm,"Researchers identified a Chinese cyber-espionage group that has exchanged tools with Winnti Umbrella, APT 27, and Mustang Panda. The group has been observed using repurposed, publicly available malware in espionage campaigns throughout Asia since at least early 2022. The group could also be moonlighting as criminal hackers, as they have been observed attacking Chinese companies […]",https://www.cfr.org/cyber-operations/space-pirates
Targeting of Ukrainian government agencies in espionage campaign,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Gamaredon, a Russian threat actor, was found using newly developed malware to steal information from Ukrainian government agencies. The malware was distributed through a phishing campaign.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-agencies-in-espionage-campaign
Targeting of Montenegrin government infrastructure,Data destruction,Russian Federation,Montenegro,attore,,da_estrarre_con_llm,"Montenegro accused the Russian government of launching a widespread cyberattack against computer systems. The attack lasted several days and severely harmed several vital industries, including electricity and water systems, transportation networks, and online portals for state services. The U.S. embassy issued a warning to travelers in the country that immigration systems run by the Montenegrin […]",https://www.cfr.org/cyber-operations/targeting-of-montenegrin-government-infrastructure
Targeting of Ukrainian government agencies,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,The Computer Emergency Response Team of Ukraine found that Gamaredon had been breaking into Ukrainian government email accounts.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-government-agencies
Targeting of industrial enterprises and public institutions in Central Asia and Eastern Europe,Espionage,China,"Belarus, Russian Federation, Ukraine",vittima,,da_estrarre_con_llm,"Chinese hackers used phishing emails to plant PortDoor malware on the systems of industrial organizations in Afghanistan, Belarus, Russia, and Ukraine. Security researchers detected the hackers exfiltrating data to a server with a Chinese IP address.",https://www.cfr.org/cyber-operations/targeting-of-industrial-enterprises-and-public-institutions-in-central-asia-and-eastern-europe
Targeting of the Ukrainian Azov Regiment,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Turla distributed Android-related malware disguised as an app that contributes to distributed denial of service (DDoS) attacks against Russian websites. However, the application did not conduct DDoS attacks and instead provided Turla access to infected systems.",https://www.cfr.org/cyber-operations/targeting-of-the-ukrainian-azov-regiment
Targeting of high-profile individuals at European embassies,Espionage,Russian Federation,"Brazil, France, Portugal",attore,,da_estrarre_con_llm,The Dukes sent out phishing emails to targets at European embassies to gain access to sensitive information.,https://www.cfr.org/cyber-operations/targeting-of-high-profile-individuals-at-european-embassies
Targeting of St. Petersburg Economic Forum,Sabotage,Ukraine,Russian Federation,vittima,,da_estrarre_con_llm,"The Ukrainian IT Army attacked the systems of the St. Petersburg Economic Forum in advance of Russian leader Vladimir Putin’s speech, delaying it for over an hour.",https://www.cfr.org/cyber-operations/targeting-of-st-petersburg-economic-forum
Targeting of media stations such as newspapers and radio stations in Ukraine,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,The Computer Emergency Response Team of Ukraine (CERT-UA) warned that Sandworm was exploiting the newly discovered Follina vulnerability in Microsoft Office to attack media organizations in the country.,https://www.cfr.org/cyber-operations/targeting-of-media-stations-such-as-newspapers-and-radio-stations-in-ukraine
Targeting of Rostec,Espionage,China,Russian Federation,vittima,,da_estrarre_con_llm,"A Chinese threat actor targeted two research institutes run by Rostec, a major Russian state-owned defense conglomerate. The attackers used spear-phishing lures to plant malware and steal data on Russian radar and electronic warfare capabilities.",https://www.cfr.org/cyber-operations/targeting-of-rostec
Targeting of Ukrainian organizations in phishing campaign,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,APT 28 sent phishing emails masquerading as the Computer Emergency Response Team of Ukraine (CERT-UA) with the subject line “Cyberattack.” The email included a malware-laced attachment enabling APT 28 to gather and steal data.,https://www.cfr.org/cyber-operations/targeting-of-ukrainian-organizations-in-phishing-campaign
Targeting of Russian and Belarusian websites,Denial of service,Ukraine,"Belarus, Russian Federation",vittima,,da_estrarre_con_llm,Ukraine’s IT Army compromised Docker Engine honeypots in an attempt to execute distributed denial-of-service (DDoS) attacks against Russian and Belarusian websites.,https://www.cfr.org/cyber-operations/targeting-of-russian-and-belarusian-websites
"Targeting of Ukrainian users of Chrome, Edge, and Firefox browsers",Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Russian threat actor APT 28 targeted Ukrainian internet users with a new malware variant. The malware was sent to targets via email attachments titled “ua_report.zip.” When executed, the malware enables hackers to steal and exfiltrate cookies and saved passwords from Chrome, Edge, and Firefox browsers.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-users-of-chrome-edge-and-firefox-browsers
Targeting of a defense and cybersecurity organization in the Baltics,Espionage,Russian Federation,"Estonia, Latvia, Lithuania",attore,,da_estrarre_con_llm,"Russian threat actor Turla targeted defense and cybersecurity organizations in the Baltic states. Turla sent emails to targets, each with unique links that led victims to download a malicious file.",https://www.cfr.org/cyber-operations/targeting-of-a-defense-and-cybersecurity-organization-in-the-baltics
"Targeting of diplomatic organizations in the Americas, Asia, and Europe",Espionage,Russian Federation,,attore,,da_estrarre_con_llm,"Russian threat actor APT 29 targeted diplomatic entities with spear- phishing emails disguised as embassy administrative notices, which were sent from compromised email addresses of other diplomatic entities. The campaign used services such as Trello, Firebase, and Dropbox for command and control. Once the hackers infiltrated the target system, they established long-term access and collected […]",https://www.cfr.org/cyber-operations/targeting-of-diplomatic-organizations-in-the-americas-asia-and-europe
Targeting of Russian military officials,Espionage,China,Russian Federation,vittima,,da_estrarre_con_llm,"Chinese threat actor Mustang Panda targeted Russian government computer systems with PlugX malware. The malware was disguised in a malicious file masquerading as a PDF, which was named after a Russian border guard unit.",https://www.cfr.org/cyber-operations/targeting-of-russian-military-officials
"Targeting of government network in Vinnytsia, Ukraine",Sabotage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"APT 28 conducted phishing campaigns targeting the Ukrainian military and government employees. Strontium succeeded in compromising a government network in Vinnytsia, a city in western Ukraine.",https://www.cfr.org/cyber-operations/targeting-of-government-network-in-vinnytsia-ukraine
Targeting of major Ukrainian broadcasting company,Sabotage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,Russian threat actors targeted a major broadcasting company with the DesertBlade wiper. This incident followed the Russian military’s announcement that it would destroy Ukrainian disinformation targets.,https://www.cfr.org/cyber-operations/targeting-of-major-ukrainian-broadcasting-company
Targeting of Ukrainian agricultural firm,Data destruction,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Sandworm targeted a Ukrainian agricultural firm’s network by placing a file encryptor on its network, leaving it vulnerable to future destruction. Assessments indicate Sandworm intended to disrupt grain production and exports.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-agricultural-firm
Targeting of a Ukrainian transportation and logistics provider,Data destruction,Russian Federation,Russian Federation,entrambi,,da_estrarre_con_llm,"Sandworm targeted the network of a Ukrainian transportation and logistics provider with a destructive attack. The provider is based in western Ukraine, which is also where foreign military and humanitarian assistance enters the country, suggesting an intent to disrupt the movement of Ukrainian supplies to conflict hotspots.",https://www.cfr.org/cyber-operations/targeting-of-a-ukrainian-transportation-and-logistics-provider
Targeting of Ukrainian power stations,Sabotage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Russian-linked Sandworm hackers targeted high-voltage electrical substations in Ukraine. The attackers used a novel variant of Industroyer malware, dubbed Industroyer2, which interacts with control systems that manage the flow of power. The hackers also deployed multiple strains of wiper malware as part of the attack.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-power-stations
Targeting of Ukrainian institutions and U.S. and European foreign policy institutions and think tanks,Espionage,Russian Federation,"France, Germany, United Kingdom, United States",attore,,da_estrarre_con_llm,"Russian threat actor APT 28 targeted Ukrainian media organizations, government institutions, and foreign policy think tanks in the United States and the European Union with attempts to establish access to victims’ systems, gain tactical information related to the invasion, and exfiltrate other sensitive information. Microsoft assumed control of seven of APT 28’s internet domains used […]",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-institutions-and-u-s-and-european-foreign-policy-institutions-and-think-tanks
Targeting of Ukrainian organizations,Espionage,Russian Federation,Ukraine,attore,,da_estrarre_con_llm,"Russian threat actor Gamaredon targeted Ukrainian organizations in a phishing campaign. The hackers sent malicious emails with lures related to the Russia-Ukraine conflict, including attachments labeled “Information on war criminals of the Russian Federation” and “Necessary_military_assistance.” The emails contained malware that allowed Russian operators to conduct espionage.",https://www.cfr.org/cyber-operations/targeting-of-ukrainian-organizations
Targeting of government agencies in the European Union,Espionage,Russian Federation,,attore,,da_estrarre_con_llm,"Russian threat actor Gamaredon targeted Ukrainian organizations in a phishing campaign. The hackers sent malicious emails with lures related to the Russia-Ukraine conflict, including attachments labeled “Information on war criminals of the Russian Federation” and “Necessary_military_assistance.” The emails contained malware which allowed Russian operators to conduct espionage.",https://www.cfr.org/cyber-operations/targeting-of-government-agencies-in-the-european-union
Targeting of Hungary’s foreign ministry networks,Espionage,Russian Federation,Hungary,attore,,da_estrarre_con_llm,"Hackers from the Russian Federal Security Service (FSB) and military intelligence agency, GRU, conducted a lengthy espionage campaign targeting Hungary’s foreign ministry networks. The initial infection was delivered via attachments in phishing emails and spread through the internal network, compromising more than 150 sites of more than 90 Hungarian foreign missions.",https://www.cfr.org/cyber-operations/targeting-of-hungarys-foreign-ministry-networks
